ubigeo,departamento,provincia,distrito,c1_rows,atenciones_missing_share,atendidos_missing_share,total_emergency_attentions,total_emergency_attended,total_populated_centers,matched_centers,coverage_share,mean_distance_km,median_distance_km,share_over_20km,share_over_30km,q1_territorial_availability_score,q2_settlement_access_score,q2_observed_settlement_access_score,q3_baseline_combined_score,q4_alternative_combined_score,baseline_rank_best_to_worst,alternative_rank_best_to_worst,rank_shift_alt_minus_base,abs_rank_shift,q1_missing_dominant,q1_reported_zero_activity,q2_no_matched_centers,q2_observed_low_access,q4_observed_no_matched_centers,q3_low_score_cause,q3_baseline_level,q4_alternative_level,facility_component,activity_component,distance_component,remote_tail_component,coverage_component,matched_centers_observed,coverage_share_observed,mean_distance_km_observed,median_distance_km_observed,share_over_20km_observed,share_over_30km_observed,distance_component_observed,remote_tail_component_observed
160505,LORETO,REQUENA,MAQUIA,0.0,0.0,0.0,0.0,0.0,73.0,73.0,1.0,121.0242429372247,121.37255046214196,1.0,1.0,0.1105483143082043,0.0943692891459696,0.3919801094709468,0.10245880172708696,0.25126421188957554,1844,1469,375,375,False,False,False,True,False,Observed low geospatial access,Very low availability,Low availability,0.2210966286164087,0.0,0.134813270208528,0.0,1.0,73.0,1.0,34.28032601790867,35.92001358767612,0.8356164383561644,0.6164383561643836,0.3955880233146599,0.3835616438356164
151004,LIMA,YAUYOS,AYAVIRI,0.0,0.0,0.0,0.0,0.0,45.0,45.0,1.0,65.8972058584322,65.58046307598026,1.0,1.0,0.0319556292752363,0.1733747317663531,0.22684515689560508,0.1026651805207947,0.1294003930854207,1843,1806,37,37,False,False,False,True,False,Observed low geospatial access,Very low availability,Very low availability,0.0639112585504727,0.0,0.2476781882376473,0.0,1.0,45.0,1.0,54.6046183770483,54.649843984126086,1.0,1.0,0.32406450985086444,0.0
151021,LIMA,YAUYOS,MIRAFLORES,0.0,0.0,0.0,0.0,0.0,36.0,36.0,1.0,65.34870209706126,65.29455558829386,1.0,1.0,0.0319556292752363,0.1739333252856401,0.20433685011890643,0.10294447728043819,0.11814623969707136,1842,1842,0,0,False,False,False,True,False,Observed low geospatial access,Very low availability,Very low availability,0.0639112585504727,0.0,0.2484761789794859,0.0,1.0,36.0,1.0,65.02325939595558,65.92340273404902,1.0,1.0,0.29190978588415206,0.0
230204,TACNA,CANDARAVE,CURIBAYA,0.0,0.0,0.0,0.0,0.0,14.0,14.0,1.0,65.07223709750215,65.21505563950836,1.0,1.0,0.0319556292752363,0.1740890768986152,0.20563520992693943,0.10302235308692574,0.11879541960108786,1841,1840,1,1,False,False,False,True,False,Observed low geospatial access,Very low availability,Very low availability,0.0639112585504727,0.0,0.248698681283736,0.0,1.0,14.0,1.0,65.07223709750215,65.21505563950836,1.0,1.0,0.2937645856099135,0.0
151027,LIMA,YAUYOS,SAN PEDRO DE PILAS,0.0,0.0,0.0,0.0,0.0,15.0,15.0,1.0,64.34927370836446,64.50391369336353,1.0,1.0,0.0319556292752363,0.1754906805608139,0.2511759335433254,0.1037231549180251,0.14156578140928086,1840,1759,81,81,False,False,False,True,False,Observed low geospatial access,Very low availability,Very low availability,0.0639112585504727,0.0,0.2507009722297342,0.0,1.0,15.0,1.0,44.2800804201694,44.58932379456308,1.0,1.0,0.3588227622047506,0.0
151019,LIMA,YAUYOS,LINCHA,0.0,0.0,0.0,0.0,0.0,85.0,85.0,1.0,64.33857068577767,64.19708768475769,1.0,1.0,0.0319556292752363,0.1761001151297766,0.4849288838672762,0.10402787220250645,0.25844225657125625,1839,1457,382,382,False,False,False,True,False,Observed low geospatial access,Very low availability,Low availability,0.0639112585504727,0.0,0.251571593042538,0.0,1.0,85.0,1.0,30.005633441602406,29.20660789538715,1.0,0.38823529411764707,0.4305706744322433,0.611764705882353
230206,TACNA,CANDARAVE,QUILAHUANI,0.0,0.0,0.0,0.0,0.0,21.0,21.0,1.0,73.43800771422306,73.38203208691948,1.0,1.0,0.0506484740881968,0.1589921973467227,0.19144389850405263,0.10482033571745976,0.12104618629612472,1838,1837,1,1,False,False,False,True,False,Observed low geospatial access,Very low availability,Very low availability,0.1012969481763936,0.0,0.2271317104953182,0.0,1.0,21.0,1.0,73.43800771422306,73.38203208691948,1.0,1.0,0.2734912835772181,0.0
040409,AREQUIPA,CASTILLA,ORCOPAMPA,2.0,1.0,1.0,0.0,0.0,112.0,112.0,1.0,76.96818878478746,80.85367204496524,1.0,1.0,0.0639112585504727,0.1465676639332608,0.17990068992096525,0.10523946124186674,0.12190597423571897,1837,1835,2,2,True,False,False,True,False,Missing-dominant activity,Very low availability,Very low availability,0.1278225171009454,0.0,0.2093823770475155,0.0,1.0,112.0,1.0,76.935859565806,80.76245215940632,1.0,1.0,0.25700098560137896,0.0
180207,MOQUEGUA,GENERAL SANCHEZ CERRO,MATALAQUE,0.0,0.0,0.0,0.0,0.0,51.0,51.0,1.0,71.55675161460232,72.82109706254333,1.0,1.0,0.0506484740881968,0.1599747827089628,0.19236754466730038,0.1053116283985798,0.1215080093777486,1836,1836,0,0,False,False,False,True,False,Observed low geospatial access,Very low availability,Very low availability,0.1012969481763936,0.0,0.2285354038699468,0.0,1.0,51.0,1.0,71.55675161460232,72.82109706254333,1.0,1.0,0.2748107780961434,0.0
151013,LIMA,YAUYOS,HUAMPARA,0.0,0.0,0.0,0.0,0.0,19.0,19.0,1.0,62.048274969772976,62.58916046072334,1.0,1.0,0.0319556292752363,0.1793415141493575,0.2224424585019587,0.1056485717122969,0.1271990438885975,1835,1814,21,21,False,False,False,True,False,Observed low geospatial access,Very low availability,Very low availability,0.0639112585504727,0.0,0.2562021630705108,0.0,1.0,19.0,1.0,56.928913197414815,56.69451460025726,1.0,1.0,0.3177749407170839,0.0
