ubigeo,departamento,provincia,distrito,total_facilities,emergency_proxy_facilities,facilities_missing_coords,c1_rows,reporting_ipress_count,total_emergency_attentions,total_emergency_attended,atenciones_missing_rows,atendidos_missing_rows,atenciones_zero_rows,atendidos_zero_rows,atenciones_missing_share,atendidos_missing_share,atenciones_zero_share,atendidos_zero_share,activity_quality_tag,facility_component,activity_component,q1_territorial_availability_score,availability_level,rank_best_to_worst,rank_worst_to_best
250201,UCAYALI,ATALAYA,RAIMONDI,19.0,1.0,1.0,74.0,21.0,177.0,68.0,38.0,38.0,0.0,0.0,0.5135135135135135,0.5135135135135135,0.0,0.0,Missing activity values present,0.3646457556918997,0.4001591404210789,0.3824024480564893,Very high availability,269,275
030417,APURIMAC,AYMARAES,YANACA,2.0,0.0,0.0,79.0,3.0,4133.0,1429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No missing or zero activity values,0.10129694817639363,0.6633624178476097,0.3823296830120017,Very high availability,270,274
220805,SAN MARTIN,RIOJA,PARDO MIGUEL,8.0,1.0,0.0,143.0,8.0,272.0,244.0,13.0,13.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,Missing activity values present,0.29101978813578877,0.47360113072359017,0.38231045942968944,Very high availability,271,273
070107,CALLAO,CALLAO,MI PERU,3.0,0.0,3.0,62.0,2.0,1805.0,1670.0,2.0,2.0,0.0,0.0,0.03225806451612903,0.03225806451612903,0.0,0.0,Missing activity values present,0.12782251710094544,0.636070107640512,0.38194631237072874,Very high availability,272,272
130501,LA LIBERTAD,JULCAN,JULCAN,7.0,1.0,0.0,82.0,7.0,299.0,256.0,12.0,12.0,0.0,0.0,0.14634146341463414,0.14634146341463414,0.0,0.0,Missing activity values present,0.28015966743441967,0.4795962820185691,0.37987797472649437,Very high availability,273,271
211201,PUNO,SANDIA,SANDIA,5.0,1.0,1.0,57.0,1.0,384.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No missing or zero activity values,0.25363409850986784,0.5060517999549652,0.3798429492324165,Very high availability,274,270
030402,APURIMAC,AYMARAES,CAPAYA,3.0,0.0,0.0,85.0,3.0,2532.0,899.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No missing or zero activity values,0.12782251710094544,0.6227700772564277,0.3752962971786866,Very high availability,275,269
030414,APURIMAC,AYMARAES,TAPAIRIHUA,3.0,0.0,0.0,57.0,2.0,2458.0,858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No missing or zero activity values,0.12782251710094544,0.6194939839110452,0.3736582505059953,Very high availability,276,268
120501,JUNIN,JUNIN,JUNIN,4.0,1.0,1.0,64.0,3.0,390.0,379.0,4.0,4.0,0.0,0.0,0.0625,0.0625,0.0,0.0,Missing activity values present,0.23682323859095428,0.5077451174557819,0.3722841780233681,Very high availability,277,267
060508,CAJAMARCA,CONTUMAZA,YONAN,5.0,1.0,0.0,67.0,5.0,321.0,307.0,10.0,10.0,0.0,0.0,0.14925373134328357,0.14925373134328357,0.0,0.0,Missing activity values present,0.25363409850986784,0.49048689674856927,0.37206049762921856,Very high availability,278,266
220504,SAN MARTIN,LAMAS,CAYNARACHI,9.0,1.0,0.0,89.0,9.0,184.0,176.0,14.0,14.0,0.0,0.0,0.15730337078651685,0.15730337078651685,0.0,0.0,Missing activity values present,0.300734497141427,0.44323679092472434,0.37198564403307566,Very high availability,279,265
130201,LA LIBERTAD,ASCOPE,ASCOPE,2.0,2.0,0.0,57.0,1.0,360.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No missing or zero activity values,0.24144867074527804,0.5021940969286688,0.3718213838369734,Very high availability,280,264
040702,AREQUIPA,ISLAY,COCACHACRA,8.0,2.0,3.0,59.0,6.0,164.0,66.0,10.0,10.0,0.0,0.0,0.1694915254237288,0.1694915254237288,0.0,0.0,Missing activity values present,0.34274561892167166,0.3957362814693056,0.36924095019548864,Very high availability,281,263
120702,JUNIN,TARMA,ACOBAMBA,6.0,1.0,0.0,68.0,6.0,249.0,239.0,10.0,10.0,0.0,0.0,0.14705882352941177,0.14705882352941177,0.0,0.0,Missing activity values present,0.26784747804956727,0.4690635852763244,0.36845553166294587,Very high availability,282,262
160605,LORETO,UCAYALI,SARAYACU,13.0,0.0,0.0,28.0,1.0,321.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No missing or zero activity values,0.24333284481703843,0.49244452323540533,0.3678886840262219,Very high availability,283,261
220510,SAN MARTIN,LAMAS,TABALOSOS,4.0,1.0,0.0,63.0,4.0,489.0,250.0,6.0,6.0,0.0,0.0,0.09523809523809523,0.09523809523809523,0.0,0.0,Missing activity values present,0.23682323859095428,0.49878876039995634,0.36780599949545534,Very high availability,284,260
190305,PASCO,OXAPAMPA,POZUZO,14.0,1.0,1.0,95.0,13.0,104.0,97.0,24.0,24.0,0.0,0.0,0.25263157894736843,0.25263157894736843,0.0,0.0,Missing activity values present,0.3381201867673479,0.3938438968983071,0.3659820418328275,Very high availability,285,259
030602,APURIMAC,CHINCHEROS,ANCO HUALLO,6.0,1.0,1.0,60.0,1.0,499.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No missing or zero activity values,0.26784747804956727,0.4620728942907546,0.3649601861701609,Very high availability,286,258
110112,ICA,ICA,SUBTANJALLA,7.0,0.0,2.0,70.0,6.0,549.0,549.0,10.0,10.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,Missing activity values present,0.19173377565141816,0.5380997422342138,0.36491675894281594,Very high availability,287,257
021701,ANCASH,RECUAY,RECUAY,2.0,1.0,0.0,63.0,3.0,754.0,424.0,4.0,4.0,0.0,0.0,0.06349206349206349,0.06349206349206349,0.0,0.0,Missing activity values present,0.18972283995939515,0.5398096285863173,0.36476623427285626,Very high availability,288,256
200801,PIURA,SECHURA,SECHURA,20.0,2.0,13.0,24.0,1.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No missing or zero activity values,0.4208702570118438,0.3055967656076565,0.3632335113097501,Very high availability,289,255
021901,ANCASH,SIHUAS,SIHUAS,3.0,1.0,1.0,85.0,3.0,450.0,350.0,2.0,2.0,0.0,0.0,0.023529411764705882,0.023529411764705882,0.0,0.0,Missing activity values present,0.21624840888394695,0.51013633143423,0.36319237015908845,Very high availability,290,254
040501,AREQUIPA,CAYLLOMA,CHIVAY,4.0,1.0,1.0,62.0,4.0,436.0,222.0,6.0,6.0,0.0,0.0,0.0967741935483871,0.0967741935483871,0.0,0.0,Missing activity values present,0.23682323859095428,0.4888590099313683,0.36284112426116133,Very high availability,291,253
030412,APURIMAC,AYMARAES,SA?AYCA,3.0,0.0,0.0,70.0,3.0,1868.0,667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No missing or zero activity values,0.12782251710094544,0.597104950479971,0.36246373379045826,Very high availability,292,252
150202,LIMA,BARRANCA,PARAMONGA,12.0,0.0,4.0,29.0,1.0,297.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No missing or zero activity values,0.23649975957655378,0.485839023803396,0.36116939168997486,Very high availability,293,251
211001,PUNO,SAN ANTONIO DE PUTINA,PUTINA,4.0,1.0,2.0,63.0,4.0,291.0,291.0,6.0,6.0,0.0,0.0,0.09523809523809523,0.09523809523809523,0.0,0.0,Missing activity values present,0.23682323859095428,0.4841044880515008,0.36046386332122754,Very high availability,294,250
240302,TUMBES,ZARUMILLA,AGUAS VERDES,4.0,0.0,0.0,64.0,4.0,841.0,728.0,6.0,6.0,0.0,0.0,0.09375,0.09375,0.0,0.0,Missing activity values present,0.14839734680795277,0.5680702039857284,0.3582337753968406,Very high availability,295,249
190104,PASCO,PASCO,HUAYLLAY,11.0,0.0,4.0,62.0,8.0,392.0,198.0,12.0,12.0,0.0,0.0,0.1935483870967742,0.1935483870967742,0.0,0.0,Missing activity values present,0.2291194652773391,0.479467947774765,0.354293706526052,Very high availability,296,248
030410,APURIMAC,AYMARAES,POCOHUANCA,4.0,0.0,0.0,56.0,2.0,1181.0,433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No missing or zero activity values,0.14839734680795277,0.5592177085779002,0.3538075276929265,Very high availability,297,247
